"307";"230921646 ticks";"230921646 ticks"
"308";"270244274 ticks";"270244274 ticks"
"309";"237225966 ticks";"237225966 ticks"
"310";"244684266 ticks";"244684266 ticks"
"311";"230551870 ticks";"230551870 ticks"
"312";"233283768 ticks";"233283768 ticks"
"313";"263797418 ticks";"263797418 ticks"
"314";"252490110 ticks";"252490110 ticks"
"315";"247287828 ticks";"247287828 ticks"
"316";"247560670 ticks";"247560670 ticks"
"317";"237640734 ticks";"237640734 ticks"
"318";"234853846 ticks";"234853846 ticks"
"319";"253283744 ticks";"253283744 ticks"
"320";"251926688 ticks";"251926688 ticks"
"321";"232558834 ticks";"232558834 ticks"
"322";"261029884 ticks";"261029884 ticks"
"323";"241961888 ticks";"241961888 ticks"
"324";"249900112 ticks";"249900112 ticks"
"325";"248690080 ticks";"248690080 ticks"
"326";"254983970 ticks";"254983970 ticks"
"327";"234764714 ticks";"234764714 ticks"
"328";"293827356 ticks";"293827356 ticks"
"329";"275617306 ticks";"275617306 ticks"
